failure_bucket,source,tool_name,platform,count,architecture_type,repository_name,experiment_batch_id,run_index,workflow_run_id,workflow_attempt,generated_at
API_CONTRACT_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
API_RESPONSE_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
ASSERTION_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
DATA_SETUP_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
INFRASTRUCTURE_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
LOCATOR_RESOLUTION_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
MOBILE_SESSION_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
PERFORMANCE_THRESHOLD_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
TIMEOUT_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
UI_ACTION_FAILURE,tool-events,playwright,responsive,1,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
UNKNOWN_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
VISUAL_BASELINE_MISSING,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
VISUAL_DIFF_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
WEB_SESSION_FAILURE,ALL,ALL,ALL,0,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,2026-05-29T05:10:08.995Z
