featureFile,featureName,scenarioName,desktop,responsive,android,ios,api,performance,visual,totalPlatforms,architecture_type,repository_name,experiment_batch_id,run_index,workflow_run_id,workflow_attempt,tool_name,platform,viewport,generated_at
browse-catalog.feature,Browse the OmniPizza catalog across markets,Catalog renders in <market>/<language>,true,true,true,true,false,false,true,5,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
browse-catalog.feature,Browse the OmniPizza catalog across markets,Catalog shows the localized section title in <market>/<language>,false,false,true,true,false,false,true,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
browse-catalog.feature,Browse the OmniPizza catalog across markets,Filtering by category narrows the catalog in <market>,true,true,true,true,true,false,true,6,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
browse-catalog.feature,Browse the OmniPizza catalog across markets,Opening a pizza card launches the builder in <market>,true,true,true,true,true,false,true,6,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
browse-catalog.feature,Browse the OmniPizza catalog across markets,Searching narrows the catalog by name in <market>,true,true,true,true,true,false,true,6,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
customize-pizza.feature,Customize a pizza in the builder across markets,Builder renders for <item> in <market>/<language>,true,true,true,true,false,false,true,5,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
customize-pizza.feature,Customize a pizza in the builder across markets,Builder section and total labels are translated for <item> in <market>/<language>,false,false,true,true,false,false,true,3,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
customize-pizza.feature,Customize a pizza in the builder across markets,Confirming add to cart closes the builder and increments the navbar cart count in <market>,true,true,true,true,true,false,true,6,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
customize-pizza.feature,Customize a pizza in the builder across markets,Selecting a size updates the estimated total for <item> in <market>,true,true,true,true,false,false,true,5,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
customize-pizza.feature,Customize a pizza in the builder across markets,Selecting toppings updates the estimated total for <item> in <market>,true,true,true,true,false,false,true,5,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
invalid-credentials.feature,Invalid login credentials surface the same auth error,Login rejected when <case>,true,true,true,true,true,true,true,7,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
market-language-localization.feature,Market-driven language localization across login + post-login UI,Logout label is translated to <language> after market <market>,true,false,false,false,false,false,true,2,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
navbar-shell.feature,"Navbar shell — links, branding, and language switching per market",Desktop navbar links are present in <market>,true,false,false,false,false,false,true,2,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
navbar-shell.feature,"Navbar shell — links, branding, and language switching per market",Header language switcher updates the locale in CH (<sourceLanguage> → <targetLanguage>),true,false,false,false,false,false,true,2,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
navbar-shell.feature,"Navbar shell — links, branding, and language switching per market",Mobile navbar exposes the same links in <market>,false,true,true,true,false,false,true,4,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
order-success.feature,Order success screen surfaces tracking & courier per market,Order success screen in <market>/<language> shows tracking + courier,true,true,true,true,false,false,true,5,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,2026-06-09T17:38:51.079Z
