architecture_type,repository_name,experiment_batch_id,run_index,workflow_run_id,workflow_attempt,tool_name,platform,viewport,metric_category,metric_name,metric_value,metric_unit,source_file,generated_at
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,extensibility,existing_core_files_changed_for_new_tool,NOT_AVAILABLE,count,no tool-integration manifest present,2026-05-29T06:20:23.673Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,extensibility,integration_effort_proxy_score,NOT_AVAILABLE,score,no tool-integration manifest present,2026-05-29T06:20:23.673Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,extensibility,new_action_or_adapter_count,NOT_AVAILABLE,count,no tool-integration manifest present,2026-05-29T06:20:23.673Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,extensibility,new_tool_files_added,NOT_AVAILABLE,count,no tool-integration manifest present,2026-05-29T06:20:23.673Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,extensibility,new_tool_files_modified,NOT_AVAILABLE,count,no tool-integration manifest present,2026-05-29T06:20:23.673Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,extensibility,new_tool_loc_added,NOT_AVAILABLE,loc,no tool-integration manifest present,2026-05-29T06:20:23.673Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,extensibility,registration_changes_count,NOT_AVAILABLE,count,no tool-integration manifest present,2026-05-29T06:20:23.673Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,interoperability,api_oracle_available,1,boolean,src/gtaa/test-execution/api + src/gtaa/test-generation/contracts/api/*.json,2026-05-29T06:20:27.922Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,interoperability,oracle_composition_count,11,count,architecture-supported compositions (component oracles all available) of 11 spec-listed; supported=11,2026-05-29T06:20:27.922Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,interoperability,oracle_count,6,count,"oracle types {API<-api+contracts/api, UI_WEB<-playwright, UI_MOBILE<-appium, VISUAL_WEB/VISUAL_MOBILE<-pixelmatch+contracts/visual, PERFORMANCE<-gatling} | count of available types",2026-05-29T06:20:27.922Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,interoperability,performance_oracle_available,1,boolean,src/gtaa/test-execution/gatling,2026-05-29T06:20:27.922Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,interoperability,successful_oracle_composition_count,3,count,"metrics/processed/{api_isolated_results,visual_comparison_results,performance_summary}.csv | single-oracle compositions with PASS evidence: API only; Performance only; Visual Web only; no multi-oracle chaining evidence",2026-05-29T06:20:27.922Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,interoperability,tool_count,6,count,"src/gtaa/test-execution/{playwright,appium(android+ios),api,gatling,pixelmatch} | method=executor presence; appium counts android+ios separately",2026-05-29T06:20:27.922Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,interoperability,ui_oracle_available,1,boolean,"src/gtaa/test-execution/{playwright,appium} | UI web and/or mobile executor present",2026-05-29T06:20:27.922Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,interoperability,visual_oracle_available,1,boolean,src/gtaa/test-execution/pixelmatch + src/gtaa/test-generation/contracts/visual/*.json,2026-05-29T06:20:27.922Z
GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,ALL,ALL,ALL,maintainability,average_file_size_loc,130.97,loc,src+scripts TS over 89 files,2026-05-29T06:20:22.003Z
