feature,scenario,count,p50_duration_ms,p95_duration_ms,p99_duration_ms,mean_duration_ms,min_duration_ms,max_duration_ms,architecture_type,repository_name,experiment_batch_id,run_index,workflow_run_id,workflow_attempt,tool_name,platform,viewport,generated_at
Browse Catalog,View the pizza catalog,2,1225,1247.5,1249.5,1225,1200,1250,GTAA_BASELINE,gTAA,sample-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,desktop,desktop,2026-06-09T17:38:54.088Z
Browse the OmniPizza catalog across markets,Catalog renders in CH/de,53,8690.1,87071.77,211109.47,31030.98,3589.25,262891.94,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,appium-android,android,mobile,2026-06-09T17:38:54.088Z
Browse the OmniPizza catalog across markets,Catalog renders in CH/fr,53,8352.37,108479.55,226674.29,32708.82,3522.29,242875.94,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,appium-android,android,mobile,2026-06-09T17:38:54.088Z
Browse the OmniPizza catalog across markets,Catalog renders in JP/ja,53,8592.88,80020.51,117262.33,26702.03,3505.66,135457.67,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,appium-android,android,mobile,2026-06-09T17:38:54.088Z
Browse the OmniPizza catalog across markets,Catalog renders in MX/es,53,8484.95,73779.73,147714.86,27520.84,3640.47,161389.19,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,appium-android,android,mobile,2026-06-09T17:38:54.088Z
Browse the OmniPizza catalog across markets,Catalog renders in US/en,55,14429.03,79913.03,123499.26,25422.23,3981.92,136392.31,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,appium-android,android,mobile,2026-06-09T17:38:54.088Z
Browse the OmniPizza catalog across markets,Catalog shows the localized section title in CH/de,22,42499.3,226819.81,237463.73,74042.46,23238.86,239965.19,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,appium-android,android,mobile,2026-06-09T17:38:54.088Z
Browse the OmniPizza catalog across markets,Catalog shows the localized section title in CH/fr,22,41942.47,199021.1,231992.73,72334.85,23590.43,240090.16,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,appium-android,android,mobile,2026-06-09T17:38:54.088Z
Browse the OmniPizza catalog across markets,Catalog shows the localized section title in JP/ja,22,41515.52,199556.31,201168.5,62494.04,23956.47,201200.39,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,appium-android,android,mobile,2026-06-09T17:38:54.088Z
Browse the OmniPizza catalog across markets,Catalog shows the localized section title in MX/es,22,41605.19,138177.27,191656.12,55546.9,23640.75,205108.4,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,appium-android,android,mobile,2026-06-09T17:38:54.088Z
