architecture_type,experiment_batch_id,run_index,run_id,tool_name,platform,viewport,feature,scenario,status,failure_bucket,duration_ms,timestamp,generated_at
GTAA_BASELINE,local-batch,0,android-081f7c24-d18a-4cf5-9d3c-1182cd053e47,appium-android,android,mobile,Invalid login credentials surface the same auth error,Login rejected when both fields are empty,PASS,,19626.597799,2026-06-09T13:05:07.435Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-081f7c24-d18a-4cf5-9d3c-1182cd053e47,appium-android,android,mobile,Invalid login credentials surface the same auth error,Login rejected when credentials are wrong,PASS,,21512.761599999998,2026-06-09T13:05:07.435Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-081f7c24-d18a-4cf5-9d3c-1182cd053e47,appium-android,android,mobile,Invalid login credentials surface the same auth error,Login rejected when password is missing,PASS,,20463.700299,2026-06-09T13:05:07.435Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-081f7c24-d18a-4cf5-9d3c-1182cd053e47,appium-android,android,mobile,Invalid login credentials surface the same auth error,Login rejected when user is locked out,PASS,,22255.935699,2026-06-09T13:05:07.435Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-081f7c24-d18a-4cf5-9d3c-1182cd053e47,appium-android,android,mobile,Invalid login credentials surface the same auth error,Login rejected when username is missing,PASS,,22766.210797,2026-06-09T13:05:07.435Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Catalog renders in CH/de,FAIL,UNKNOWN_FAILURE,74802.04629900001,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Catalog renders in CH/fr,FAIL,UNKNOWN_FAILURE,79944.71059999999,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Catalog renders in JP/ja,FAIL,UNKNOWN_FAILURE,80504.301299,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Catalog renders in MX/es,FAIL,UNKNOWN_FAILURE,70167.9388,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Catalog renders in US/en,FAIL,UNKNOWN_FAILURE,72660.0929,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Catalog shows the localized section title in CH/de,FAIL,UNKNOWN_FAILURE,89045.7844,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Catalog shows the localized section title in CH/fr,FAIL,UNKNOWN_FAILURE,112578.9532,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Catalog shows the localized section title in JP/ja,FAIL,UNKNOWN_FAILURE,96775.02859999999,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Catalog shows the localized section title in MX/es,FAIL,UNKNOWN_FAILURE,81421.92240000001,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Catalog shows the localized section title in US/en,FAIL,UNKNOWN_FAILURE,80414.914699,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Filtering by category narrows the catalog in CH,FAIL,UNKNOWN_FAILURE,189628.2713,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Filtering by category narrows the catalog in JP,FAIL,UNKNOWN_FAILURE,113710.9303,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Filtering by category narrows the catalog in MX,FAIL,UNKNOWN_FAILURE,109455.428099,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Filtering by category narrows the catalog in US,FAIL,UNKNOWN_FAILURE,81148.4025,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Opening a pizza card launches the builder in CH,FAIL,UNKNOWN_FAILURE,190492.908,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
GTAA_BASELINE,local-batch,0,android-2c3a9974-070c-4976-bf9a-9deee976c763,appium-android,android,mobile,Browse the OmniPizza catalog across markets,Opening a pizza card launches the builder in JP,FAIL,UNKNOWN_FAILURE,99549.468799,2026-06-07T20:37:13.136Z,2026-06-09T17:38:58.338Z
